变压器资产ID,产生时间（15秒）,相别,有功电流（A）,有功功率（MW）,无功功率（MW）,负载率（%）,功率因数,开关档位
500KV-BYQ-003,2024-06-05 06:33:00,C,1287.3,419.8,88.3,71.2,0.92,4
500KV-BYQ-001,2024-06-05 06:34:00,A,1281.7,403.7,84.3,71.1,0.93,3
500KV-BYQ-001,2024-06-05 06:34:00,B,1209.3,429.8,89.1,73.5,0.93,3
500KV-BYQ-001,2024-06-05 06:34:00,C,1283.1,397.2,86.6,75.6,0.94,3
500KV-BYQ-002,2024-06-05 06:34:00,A,1287.8,402.5,92.9,67.7,0.95,5
500KV-BYQ-002,2024-06-05 06:34:00,B,1264.1,421.6,87.8,73.0,0.94,5
500KV-BYQ-002,2024-06-05 06:34:00,C,1272.5,414.5,81.6,66.4,0.91,5
500KV-BYQ-003,2024-06-05 06:34:00,A,1214.6,423.0,87.4,73.8,0.91,1
500KV-BYQ-003,2024-06-05 06:34:00,B,1282.8,431.2,85.7,75.4,0.95,1
500KV-BYQ-003,2024-06-05 06:34:00,C,1254.1,441.9,84.8,69.8,0.93,1
500KV-BYQ-001,2024-06-05 06:35:00,A,1268.0,404.1,92.1,68.2,0.92,2
500KV-BYQ-001,2024-06-05 06:35:00,B,1206.6,410.3,94.5,67.3,0.94,2
500KV-BYQ-001,2024-06-05 06:35:00,C,1224.0,410.0,90.9,72.3,0.92,2
500KV-BYQ-002,2024-06-05 06:35:00,A,1250.3,432.2,82.3,73.6,0.94,1
500KV-BYQ-002,2024-06-05 06:35:00,B,1288.7,430.7,94.5,73.2,0.9,1
500KV-BYQ-002,2024-06-05 06:35:00,C,1270.7,425.9,92.6,68.5,0.92,1
500KV-BYQ-003,2024-06-05 06:35:00,A,1214.4,403.7,89.6,67.9,0.91,5
500KV-BYQ-003,2024-06-05 06:35:00,B,1249.2,442.2,88.2,75.0,0.93,5
500KV-BYQ-003,2024-06-05 06:35:00,C,1209.1,414.0,88.6,71.5,0.93,5
500KV-BYQ-001,2024-06-05 06:36:00,A,1246.0,414.6,87.2,72.5,0.91,3
500KV-BYQ-001,2024-06-05 06:36:00,B,1278.1,424.2,93.1,68.4,0.95,3
500KV-BYQ-001,2024-06-05 06:36:00,C,1269.2,437.4,83.0,74.9,0.94,3
500KV-BYQ-002,2024-06-05 06:36:00,A,1296.3,429.7,89.9,67.6,0.92,5
500KV-BYQ-002,2024-06-05 06:36:00,B,1218.8,400.2,93.3,66.8,0.91,5
500KV-BYQ-002,2024-06-05 06:36:00,C,1209.9,458.3,82.6,73.1,0.94,5
500KV-BYQ-003,2024-06-05 06:36:00,A,1265.3,424.1,87.4,73.5,0.93,3
500KV-BYQ-003,2024-06-05 06:36:00,B,1212.1,405.7,95.0,73.0,0.94,3
500KV-BYQ-003,2024-06-05 06:36:00,C,1190.7,418.1,82.7,73.1,0.95,3
500KV-BYQ-001,2024-06-05 06:37:00,A,1255.8,408.2,92.5,72.3,0.92,5
500KV-BYQ-001,2024-06-05 06:37:00,B,1287.3,426.4,85.1,67.9,0.93,5
500KV-BYQ-001,2024-06-05 06:37:00,C,1313.7,436.4,89.9,67.7,0.9,5
500KV-BYQ-002,2024-06-05 06:37:00,A,1234.0,411.5,80.9,67.9,0.91,5
500KV-BYQ-002,2024-06-05 06:37:00,B,1263.6,456.4,89.9,69.8,0.92,5
500KV-BYQ-002,2024-06-05 06:37:00,C,1292.8,404.5,87.5,74.6,0.95,5
500KV-BYQ-003,2024-06-05 06:37:00,A,1248.6,428.9,93.4,72.6,0.94,1
500KV-BYQ-003,2024-06-05 06:37:00,B,1266.1,410.3,78.7,67.8,0.94,1
500KV-BYQ-003,2024-06-05 06:37:00,C,1189.9,406.8,84.3,69.9,0.9,1
500KV-BYQ-001,2024-06-05 06:38:00,A,1283.4,418.6,83.5,71.3,0.92,1
500KV-BYQ-001,2024-06-05 06:38:00,B,1212.9,443.0,80.5,72.3,0.92,1
500KV-BYQ-001,2024-06-05 06:38:00,C,1316.5,408.5,88.3,74.1,0.91,1
500KV-BYQ-002,2024-06-05 06:38:00,A,1204.4,442.5,91.2,66.0,0.94,4
500KV-BYQ-002,2024-06-05 06:38:00,B,1254.7,424.6,95.1,70.5,0.92,4
500KV-BYQ-002,2024-06-05 06:38:00,C,1258.7,420.9,93.4,70.1,0.91,4
500KV-BYQ-003,2024-06-05 06:38:00,A,1318.7,416.2,85.2,69.0,0.91,3
500KV-BYQ-003,2024-06-05 06:38:00,B,1276.6,420.9,88.0,65.5,0.94,3
500KV-BYQ-003,2024-06-05 06:38:00,C,1256.1,421.3,90.2,74.9,0.91,3
500KV-BYQ-001,2024-06-05 06:39:00,A,1200.1,410.1,93.4,72.4,0.9,4
500KV-BYQ-001,2024-06-05 06:39:00,B,1300.3,419.5,88.9,68.5,0.93,4
500KV-BYQ-001,2024-06-05 06:39:00,C,1243.1,438.5,85.1,68.9,0.93,4
500KV-BYQ-002,2024-06-05 06:39:00,A,1276.8,436.4,83.5,75.1,0.91,5
500KV-BYQ-002,2024-06-05 06:39:00,B,1265.6,399.3,89.7,67.2,0.94,5
500KV-BYQ-002,2024-06-05 06:39:00,C,1235.4,416.2,87.9,71.5,0.93,5
500KV-BYQ-003,2024-06-05 06:39:00,A,1237.3,402.1,81.4,67.7,0.91,5
500KV-BYQ-003,2024-06-05 06:39:00,B,1220.5,419.3,87.7,67.0,0.91,5
500KV-BYQ-003,2024-06-05 06:39:00,C,1200.5,433.7,90.1,71.2,0.91,5
500KV-BYQ-001,2024-06-05 06:40:00,A,1209.6,423.1,82.7,74.4,0.94,2
500KV-BYQ-001,2024-06-05 06:40:00,B,1208.3,404.7,89.6,71.4,0.94,2
500KV-BYQ-001,2024-06-05 06:40:00,C,1280.1,418.1,82.1,66.0,0.94,2
500KV-BYQ-002,2024-06-05 06:40:00,A,1220.6,407.6,79.8,66.7,0.9,3
500KV-BYQ-002,2024-06-05 06:40:00,B,1286.1,432.9,95.7,68.8,0.94,3
500KV-BYQ-002,2024-06-05 06:40:00,C,1229.9,435.2,84.4,66.3,0.92,3
500KV-BYQ-003,2024-06-05 06:40:00,A,1252.4,429.1,93.8,65.9,0.91,5
500KV-BYQ-003,2024-06-05 06:40:00,B,1235.1,445.1,86.7,71.0,0.95,5
500KV-BYQ-003,2024-06-05 06:40:00,C,1297.6,417.7,81.6,67.6,0.94,5
500KV-BYQ-001,2024-06-05 06:41:00,A,1316.3,414.0,81.4,65.5,0.91,4
500KV-BYQ-001,2024-06-05 06:41:00,B,1204.8,451.4,80.4,71.3,0.92,4
500KV-BYQ-001,2024-06-05 06:41:00,C,1234.4,402.3,83.6,68.9,0.91,4
500KV-BYQ-002,2024-06-05 06:41:00,A,1295.6,429.2,96.5,75.0,0.9,5
500KV-BYQ-002,2024-06-05 06:41:00,B,1244.4,431.4,92.5,74.7,0.92,5
500KV-BYQ-002,2024-06-05 06:41:00,C,1279.5,414.5,87.4,72.7,0.91,5
500KV-BYQ-003,2024-06-05 06:41:00,A,1288.1,435.5,91.7,73.5,0.9,3
500KV-BYQ-003,2024-06-05 06:41:00,B,1192.1,439.2,93.5,65.1,0.95,3
500KV-BYQ-003,2024-06-05 06:41:00,C,1260.8,440.5,89.7,74.3,0.9,3
500KV-BYQ-001,2024-06-05 06:42:00,A,1280.0,417.3,83.1,72.2,0.93,2
500KV-BYQ-001,2024-06-05 06:42:00,B,1213.6,416.6,81.8,67.1,0.91,2
500KV-BYQ-001,2024-06-05 06:42:00,C,1287.5,426.5,81.2,65.5,0.92,2
500KV-BYQ-002,2024-06-05 06:42:00,A,1210.0,446.6,88.5,72.8,0.91,2
500KV-BYQ-002,2024-06-05 06:42:00,B,1238.4,418.1,88.3,68.1,0.91,2
500KV-BYQ-002,2024-06-05 06:42:00,C,1261.8,428.7,91.5,65.4,0.95,2
500KV-BYQ-003,2024-06-05 06:42:00,A,1238.8,440.6,82.0,72.9,0.91,1
500KV-BYQ-003,2024-06-05 06:42:00,B,1291.6,411.4,82.7,69.3,0.92,1
500KV-BYQ-003,2024-06-05 06:42:00,C,1222.2,452.2,85.3,70.9,0.95,1
500KV-BYQ-001,2024-06-05 06:43:00,A,1254.6,412.1,90.6,66.8,0.93,1
500KV-BYQ-001,2024-06-05 06:43:00,B,1312.5,429.4,83.1,69.5,0.91,1
500KV-BYQ-001,2024-06-05 06:43:00,C,1255.2,455.3,90.9,75.1,0.94,1
500KV-BYQ-002,2024-06-05 06:43:00,A,1229.4,396.5,92.5,68.3,0.93,4
500KV-BYQ-002,2024-06-05 06:43:00,B,1222.6,429.7,89.2,72.4,0.93,4
500KV-BYQ-002,2024-06-05 06:43:00,C,1224.8,423.2,84.8,66.5,0.92,4
500KV-BYQ-003,2024-06-05 06:43:00,A,1221.4,426.1,90.1,68.8,0.95,4
500KV-BYQ-003,2024-06-05 06:43:00,B,1277.6,419.2,87.1,73.4,0.93,4
500KV-BYQ-003,2024-06-05 06:43:00,C,1254.8,442.7,83.7,70.7,0.95,4
500KV-BYQ-001,2024-06-05 06:44:00,A,1198.4,443.1,92.7,76.0,0.92,3
500KV-BYQ-001,2024-06-05 06:44:00,B,1318.2,443.4,90.0,64.9,0.95,3
500KV-BYQ-001,2024-06-05 06:44:00,C,1265.6,432.2,83.6,72.9,0.94,3
500KV-BYQ-002,2024-06-05 06:44:00,A,1236.0,406.3,80.7,71.1,0.94,2
500KV-BYQ-002,2024-06-05 06:44:00,B,1231.8,426.7,91.9,66.9,0.95,2
500KV-BYQ-002,2024-06-05 06:44:00,C,1308.4,425.7,89.2,75.1,0.94,2
500KV-BYQ-003,2024-06-05 06:44:00,A,1197.5,414.3,87.4,74.3,0.94,4
500KV-BYQ-003,2024-06-05 06:44:00,B,1193.5,407.6,89.4,66.7,0.91,4
500KV-BYQ-003,2024-06-05 06:44:00,C,1199.8,436.3,81.7,66.6,0.94,4
500KV-BYQ-001,2024-06-05 06:45:00,A,1242.5,449.9,89.5,68.0,0.91,2
500KV-BYQ-001,2024-06-05 06:45:00,B,1230.9,425.8,91.9,68.8,0.92,2
500KV-BYQ-001,2024-06-05 06:45:00,C,1238.4,440.6,87.8,67.3,0.9,2
500KV-BYQ-002,2024-06-05 06:45:00,A,1207.8,439.5,94.7,71.4,0.93,2
500KV-BYQ-002,2024-06-05 06:45:00,B,1248.3,434.9,79.1,68.3,0.92,2
500KV-BYQ-002,2024-06-05 06:45:00,C,1249.3,427.3,90.3,69.9,0.91,2
500KV-BYQ-003,2024-06-05 06:45:00,A,1267.4,448.1,80.6,68.4,0.94,4
500KV-BYQ-003,2024-06-05 06:45:00,B,1259.0,393.6,84.8,72.4,0.92,4
500KV-BYQ-003,2024-06-05 06:45:00,C,1278.3,422.4,81.9,68.4,0.93,4
500KV-BYQ-001,2024-06-05 06:46:00,A,1295.9,439.6,92.2,73.3,0.95,1
500KV-BYQ-001,2024-06-05 06:46:00,B,1285.6,427.5,93.3,73.1,0.94,1
500KV-BYQ-001,2024-06-05 06:46:00,C,1251.4,428.2,80.1,68.0,0.91,1
500KV-BYQ-002,2024-06-05 06:46:00,A,1276.5,444.0,87.6,72.5,0.91,4
500KV-BYQ-002,2024-06-05 06:46:00,B,1266.3,424.2,87.1,72.8,0.95,4
500KV-BYQ-002,2024-06-05 06:46:00,C,1269.9,398.2,87.9,72.4,0.93,4
500KV-BYQ-003,2024-06-05 06:46:00,A,1239.8,430.4,91.4,68.3,0.9,5
500KV-BYQ-003,2024-06-05 06:46:00,B,1194.8,405.1,83.6,72.5,0.95,5
500KV-BYQ-003,2024-06-05 06:46:00,C,1259.8,435.6,86.0,67.9,0.91,5
500KV-BYQ-001,2024-06-05 06:47:00,A,1255.4,402.8,93.1,71.9,0.91,1
500KV-BYQ-001,2024-06-05 06:47:00,B,1226.7,418.7,96.1,69.9,0.91,1
500KV-BYQ-001,2024-06-05 06:47:00,C,1227.1,405.2,81.9,69.9,0.92,1
500KV-BYQ-002,2024-06-05 06:47:00,A,1321.7,414.2,83.2,69.2,0.93,4
500KV-BYQ-002,2024-06-05 06:47:00,B,1316.1,440.2,87.4,71.4,0.92,4
500KV-BYQ-002,2024-06-05 06:47:00,C,1228.0,421.5,93.8,65.8,0.95,4
500KV-BYQ-003,2024-06-05 06:47:00,A,1261.2,401.3,78.9,68.9,0.9,4
500KV-BYQ-003,2024-06-05 06:47:00,B,1233.0,409.4,93.1,65.2,0.95,4
500KV-BYQ-003,2024-06-05 06:47:00,C,1193.2,429.0,93.8,67.3,0.9,4
500KV-BYQ-001,2024-06-05 06:48:00,A,1301.3,423.1,82.2,72.6,0.91,4
500KV-BYQ-001,2024-06-05 06:48:00,B,1281.4,402.0,84.7,75.2,0.9,4
500KV-BYQ-001,2024-06-05 06:48:00,C,1233.6,437.3,84.6,66.0,0.9,4
500KV-BYQ-002,2024-06-05 06:48:00,A,1291.3,423.8,83.2,73.1,0.94,3
500KV-BYQ-002,2024-06-05 06:48:00,B,1302.2,423.6,84.2,67.8,0.91,3
500KV-BYQ-002,2024-06-05 06:48:00,C,1250.4,421.5,87.2,70.5,0.94,3
500KV-BYQ-003,2024-06-05 06:48:00,A,1207.2,432.9,87.1,72.0,0.92,1
500KV-BYQ-003,2024-06-05 06:48:00,B,1266.0,415.0,84.6,69.7,0.9,1
500KV-BYQ-003,2024-06-05 06:48:00,C,1250.6,401.3,87.1,67.0,0.91,1
500KV-BYQ-001,2024-06-05 06:49:00,A,1193.7,422.3,89.4,65.7,0.93,5
500KV-BYQ-001,2024-06-05 06:49:00,B,1323.9,407.9,84.6,68.7,0.92,5
500KV-BYQ-001,2024-06-05 06:49:00,C,1215.4,411.0,90.0,67.9,0.93,5
500KV-BYQ-002,2024-06-05 06:49:00,A,1248.1,430.2,81.6,65.6,0.92,2
500KV-BYQ-002,2024-06-05 06:49:00,B,1234.1,401.6,82.0,69.3,0.95,2
500KV-BYQ-002,2024-06-05 06:49:00,C,1255.4,401.7,81.0,71.9,0.91,2
500KV-BYQ-003,2024-06-05 06:49:00,A,1195.1,410.2,90.5,70.2,0.91,1
500KV-BYQ-003,2024-06-05 06:49:00,B,1278.3,428.1,80.4,69.6,0.93,1
500KV-BYQ-003,2024-06-05 06:49:00,C,1243.9,424.8,86.3,68.6,0.93,1
500KV-BYQ-001,2024-06-05 06:50:00,A,1286.2,435.8,85.9,66.5,0.91,3
500KV-BYQ-001,2024-06-05 06:50:00,B,1243.5,424.4,90.7,73.9,0.9,3
500KV-BYQ-001,2024-06-05 06:50:00,C,1247.9,442.4,90.3,74.3,0.94,3
500KV-BYQ-002,2024-06-05 06:50:00,A,1231.0,429.3,87.7,69.5,0.95,1
500KV-BYQ-002,2024-06-05 06:50:00,B,1248.1,438.1,92.6,67.7,0.94,1
500KV-BYQ-002,2024-06-05 06:50:00,C,1276.2,445.7,93.6,66.4,0.9,1
500KV-BYQ-003,2024-06-05 06:50:00,A,1268.5,413.6,82.1,73.5,0.91,1
500KV-BYQ-003,2024-06-05 06:50:00,B,1292.3,437.4,84.1,69.2,0.94,1
500KV-BYQ-003,2024-06-05 06:50:00,C,1261.8,443.6,82.8,68.8,0.91,1
500KV-BYQ-001,2024-06-05 06:51:00,A,1271.5,429.4,84.4,65.6,0.92,1
500KV-BYQ-001,2024-06-05 06:51:00,B,1311.4,450.7,81.6,69.7,0.92,1
500KV-BYQ-001,2024-06-05 06:51:00,C,1237.8,410.6,88.4,69.3,0.9,1
500KV-BYQ-002,2024-06-05 06:51:00,A,1284.3,418.7,90.9,70.5,0.91,4
500KV-BYQ-002,2024-06-05 06:51:00,B,1240.9,444.6,81.4,70.6,0.94,4
500KV-BYQ-002,2024-06-05 06:51:00,C,1254.6,452.1,90.5,66.2,0.91,4
500KV-BYQ-003,2024-06-05 06:51:00,A,1195.3,410.3,81.8,67.7,0.91,4
500KV-BYQ-003,2024-06-05 06:51:00,B,1236.1,427.3,81.7,70.8,0.9,4
500KV-BYQ-003,2024-06-05 06:51:00,C,1283.4,406.3,85.7,71.6,0.93,4
500KV-BYQ-001,2024-06-05 06:52:00,A,1196.5,416.7,83.7,74.6,0.94,4
500KV-BYQ-001,2024-06-05 06:52:00,B,1280.8,420.5,85.6,72.2,0.93,4
500KV-BYQ-001,2024-06-05 06:52:00,C,1298.9,415.6,80.4,69.8,0.93,4
500KV-BYQ-002,2024-06-05 06:52:00,A,1255.4,424.5,86.2,66.0,0.93,4
500KV-BYQ-002,2024-06-05 06:52:00,B,1261.7,432.7,87.0,68.2,0.92,4
500KV-BYQ-002,2024-06-05 06:52:00,C,1248.5,457.6,90.8,72.1,0.95,4
500KV-BYQ-003,2024-06-05 06:52:00,A,1265.3,412.3,92.0,65.7,0.92,4
500KV-BYQ-003,2024-06-05 06:52:00,B,1244.4,425.4,88.7,72.4,0.9,4
500KV-BYQ-003,2024-06-05 06:52:00,C,1192.4,421.9,89.6,73.2,0.93,4
500KV-BYQ-001,2024-06-05 06:53:00,A,1307.2,410.2,92.9,73.5,0.94,3
500KV-BYQ-001,2024-06-05 06:53:00,B,1271.2,417.4,91.9,71.6,0.91,3
500KV-BYQ-001,2024-06-05 06:53:00,C,1211.2,442.5,81.7,71.4,0.92,3
500KV-BYQ-002,2024-06-05 06:53:00,A,1260.0,438.8,88.6,70.6,0.92,4
500KV-BYQ-002,2024-06-05 06:53:00,B,1293.3,454.4,82.4,71.1,0.94,4
500KV-BYQ-002,2024-06-05 06:53:00,C,1245.1,404.6,86.7,67.9,0.93,4
500KV-BYQ-003,2024-06-05 06:53:00,A,1233.0,414.6,94.7,73.1,0.94,5
500KV-BYQ-003,2024-06-05 06:53:00,B,1262.8,434.8,84.7,74.4,0.92,5
500KV-BYQ-003,2024-06-05 06:53:00,C,1287.1,420.9,89.8,70.3,0.95,5
500KV-BYQ-001,2024-06-05 06:54:00,A,1300.1,424.2,89.7,73.2,0.93,1
500KV-BYQ-001,2024-06-05 06:54:00,B,1196.0,444.5,90.3,66.1,0.94,1
500KV-BYQ-001,2024-06-05 06:54:00,C,1280.7,403.8,87.8,67.4,0.92,1
500KV-BYQ-002,2024-06-05 06:54:00,A,1281.9,430.7,85.9,71.5,0.93,4
500KV-BYQ-002,2024-06-05 06:54:00,B,1280.3,414.1,79.5,71.2,0.91,4
500KV-BYQ-002,2024-06-05 06:54:00,C,1249.5,423.7,88.1,69.9,0.94,4
500KV-BYQ-003,2024-06-05 06:54:00,A,1266.8,427.5,87.1,74.3,0.94,2
500KV-BYQ-003,2024-06-05 06:54:00,B,1253.4,453.7,93.4,67.2,0.95,2
500KV-BYQ-003,2024-06-05 06:54:00,C,1226.7,425.4,91.0,73.4,0.92,2
500KV-BYQ-001,2024-06-05 06:55:00,A,1270.8,415.0,91.0,69.2,0.95,3
500KV-BYQ-001,2024-06-05 06:55:00,B,1313.4,413.3,83.9,73.7,0.95,3
500KV-BYQ-001,2024-06-05 06:55:00,C,1288.0,428.5,88.6,73.2,0.95,3
500KV-BYQ-002,2024-06-05 06:55:00,A,1275.5,408.7,82.7,72.4,0.93,2
500KV-BYQ-002,2024-06-05 06:55:00,B,1218.6,421.9,88.8,70.4,0.93,2
500KV-BYQ-002,2024-06-05 06:55:00,C,1258.6,451.2,91.7,71.1,0.94,2
500KV-BYQ-003,2024-06-05 06:55:00,A,1267.7,404.8,90.6,70.3,0.9,2
500KV-BYQ-003,2024-06-05 06:55:00,B,1221.1,446.8,87.7,69.2,0.94,2
500KV-BYQ-003,2024-06-05 06:55:00,C,1216.0,411.5,93.6,69.7,0.92,2
500KV-BYQ-001,2024-06-05 06:56:00,A,1233.5,439.5,87.7,69.2,0.91,5
500KV-BYQ-001,2024-06-05 06:56:00,B,1185.2,455.6,83.2,66.4,0.91,5
500KV-BYQ-001,2024-06-05 06:56:00,C,1252.5,427.0,91.3,71.5,0.94,5
500KV-BYQ-002,2024-06-05 06:56:00,A,1232.4,427.3,91.0,76.0,0.91,4
500KV-BYQ-002,2024-06-05 06:56:00,B,1286.0,419.6,90.8,65.5,0.95,4
500KV-BYQ-002,2024-06-05 06:56:00,C,1219.0,396.0,84.5,66.8,0.94,4
500KV-BYQ-003,2024-06-05 06:56:00,A,1268.2,415.6,82.4,67.7,0.94,4
500KV-BYQ-003,2024-06-05 06:56:00,B,1260.8,416.9,88.7,67.7,0.94,4
500KV-BYQ-003,2024-06-05 06:56:00,C,1280.0,415.0,85.1,67.9,0.92,4
500KV-BYQ-001,2024-06-05 06:57:00,A,1293.6,401.5,87.6,70.3,0.9,1
500KV-BYQ-001,2024-06-05 06:57:00,B,1301.7,431.8,80.8,73.1,0.92,1
500KV-BYQ-001,2024-06-05 06:57:00,C,1263.5,423.3,91.0,69.6,0.9,1
500KV-BYQ-002,2024-06-05 06:57:00,A,1203.1,444.3,86.6,71.6,0.94,2
500KV-BYQ-002,2024-06-05 06:57:00,B,1258.2,443.8,95.2,74.8,0.92,2
500KV-BYQ-002,2024-06-05 06:57:00,C,1295.8,398.9,81.9,71.3,0.94,2
500KV-BYQ-003,2024-06-05 06:57:00,A,1238.3,408.2,95.0,71.7,0.93,3
500KV-BYQ-003,2024-06-05 06:57:00,B,1252.2,455.4,94.9,70.4,0.93,3
500KV-BYQ-003,2024-06-05 06:57:00,C,1280.3,450.9,86.0,69.2,0.95,3
500KV-BYQ-001,2024-06-05 06:58:00,A,1230.2,446.1,80.0,76.2,0.93,1
500KV-BYQ-001,2024-06-05 06:58:00,B,1232.7,423.8,86.7,66.4,0.93,1
500KV-BYQ-001,2024-06-05 06:58:00,C,1276.6,431.9,95.5,65.5,0.91,1
500KV-BYQ-002,2024-06-05 06:58:00,A,1201.8,404.5,78.8,65.0,0.95,5
500KV-BYQ-002,2024-06-05 06:58:00,B,1231.7,444.9,95.0,75.2,0.94,5
500KV-BYQ-002,2024-06-05 06:58:00,C,1223.6,450.3,81.2,71.2,0.94,5
500KV-BYQ-003,2024-06-05 06:58:00,A,1297.4,438.6,93.6,68.0,0.9,4
500KV-BYQ-003,2024-06-05 06:58:00,B,1246.2,427.2,80.0,72.3,0.9,4
500KV-BYQ-003,2024-06-05 06:58:00,C,1186.6,432.8,82.8,71.8,0.92,4
500KV-BYQ-001,2024-06-05 06:59:00,A,1225.9,456.4,88.5,72.6,0.94,3
500KV-BYQ-001,2024-06-05 06:59:00,B,1294.0,439.8,86.0,64.5,0.93,3
500KV-BYQ-001,2024-06-05 06:59:00,C,1226.2,430.9,88.2,73.2,0.93,3
500KV-BYQ-002,2024-06-05 06:59:00,A,1268.2,420.9,93.5,69.3,0.92,1
500KV-BYQ-002,2024-06-05 06:59:00,B,1231.1,415.0,92.8,68.7,0.92,1
500KV-BYQ-002,2024-06-05 06:59:00,C,1223.8,400.0,86.2,71.9,0.91,1
500KV-BYQ-003,2024-06-05 06:59:00,A,1240.8,401.1,91.0,65.8,0.91,3
500KV-BYQ-003,2024-06-05 06:59:00,B,1230.2,421.4,94.1,69.9,0.93,3
500KV-BYQ-003,2024-06-05 06:59:00,C,1293.8,409.3,83.4,73.0,0.94,3
500KV-BYQ-001,2024-06-05 07:00:00,A,1219.4,412.3,89.9,64.5,0.93,5
500KV-BYQ-001,2024-06-05 07:00:00,B,1263.3,409.4,90.6,74.0,0.92,5
500KV-BYQ-001,2024-06-05 07:00:00,C,1251.1,416.9,81.9,64.9,0.92,5
500KV-BYQ-002,2024-06-05 07:00:00,A,1306.0,437.3,95.5,70.0,0.93,1
500KV-BYQ-002,2024-06-05 07:00:00,B,1198.7,421.0,91.8,74.1,0.95,1
500KV-BYQ-002,2024-06-05 07:00:00,C,1270.9,432.1,92.6,68.8,0.91,1
500KV-BYQ-003,2024-06-05 07:00:00,A,1212.4,430.1,96.7,72.5,0.95,5
500KV-BYQ-003,2024-06-05 07:00:00,B,1315.2,422.3,85.1,72.9,0.92,5
500KV-BYQ-003,2024-06-05 07:00:00,C,1237.9,424.5,81.1,71.0,0.94,5
500KV-BYQ-001,2024-06-05 07:01:00,A,1240.3,403.8,82.0,66.5,0.93,3
500KV-BYQ-001,2024-06-05 07:01:00,B,1306.0,444.4,82.0,73.0,0.9,3
500KV-BYQ-001,2024-06-05 07:01:00,C,1225.1,447.8,85.1,66.9,0.93,3
500KV-BYQ-002,2024-06-05 07:01:00,A,1248.7,412.6,86.6,71.6,0.9,1
500KV-BYQ-002,2024-06-05 07:01:00,B,1291.5,448.2,84.1,64.9,0.93,1
500KV-BYQ-002,2024-06-05 07:01:00,C,1293.1,405.9,82.1,67.9,0.93,1
500KV-BYQ-003,2024-06-05 07:01:00,A,1214.6,404.1,89.6,68.4,0.91,3
500KV-BYQ-003,2024-06-05 07:01:00,B,1287.7,429.3,92.4,72.8,0.9,3
500KV-BYQ-003,2024-06-05 07:01:00,C,1216.1,428.3,88.7,67.5,0.93,3
500KV-BYQ-001,2024-06-05 07:02:00,A,1249.8,439.1,85.9,69.4,0.94,3
500KV-BYQ-001,2024-06-05 07:02:00,B,1313.7,434.6,85.6,68.7,0.92,3
500KV-BYQ-001,2024-06-05 07:02:00,C,1209.2,427.8,83.0,69.1,0.94,3
500KV-BYQ-002,2024-06-05 07:02:00,A,1287.5,447.2,85.3,73.6,0.91,1
500KV-BYQ-002,2024-06-05 07:02:00,B,1258.3,415.5,90.4,72.3,0.92,1
500KV-BYQ-002,2024-06-05 07:02:00,C,1307.4,427.2,94.1,74.3,0.91,1
500KV-BYQ-003,2024-06-05 07:02:00,A,1283.4,440.0,85.4,67.0,0.92,2
500KV-BYQ-003,2024-06-05 07:02:00,B,1189.6,418.6,83.2,66.5,0.91,2
500KV-BYQ-003,2024-06-05 07:02:00,C,1254.3,452.8,86.7,69.4,0.91,2
500KV-BYQ-001,2024-06-05 07:03:00,A,1272.3,405.0,84.8,71.9,0.93,1
500KV-BYQ-001,2024-06-05 07:03:00,B,1288.7,415.7,86.2,65.6,0.91,1
500KV-BYQ-001,2024-06-05 07:03:00,C,1254.8,438.0,82.0,72.6,0.9,1
500KV-BYQ-002,2024-06-05 07:03:00,A,1257.4,410.9,86.3,65.7,0.91,4
500KV-BYQ-002,2024-06-05 07:03:00,B,1237.4,405.8,86.3,68.9,0.91,4
500KV-BYQ-002,2024-06-05 07:03:00,C,1269.7,399.6,90.3,72.0,0.9,4
500KV-BYQ-003,2024-06-05 07:03:00,A,1279.6,408.1,86.1,73.9,0.94,1
500KV-BYQ-003,2024-06-05 07:03:00,B,1255.5,442.6,93.2,67.4,0.94,1
500KV-BYQ-003,2024-06-05 07:03:00,C,1305.5,449.9,91.0,74.6,0.95,1
500KV-BYQ-001,2024-06-05 07:04:00,A,1239.7,422.8,85.2,66.6,0.92,4
500KV-BYQ-001,2024-06-05 07:04:00,B,1190.9,419.7,90.8,71.8,0.92,4
500KV-BYQ-001,2024-06-05 07:04:00,C,1219.4,436.8,87.7,71.8,0.92,4
500KV-BYQ-002,2024-06-05 07:04:00,A,1217.9,434.5,86.5,64.8,0.92,4
500KV-BYQ-002,2024-06-05 07:04:00,B,1288.7,435.3,88.1,70.0,0.94,4
500KV-BYQ-002,2024-06-05 07:04:00,C,1249.8,405.9,89.5,69.3,0.93,4
500KV-BYQ-003,2024-06-05 07:04:00,A,1294.4,414.7,81.2,71.9,0.93,2
500KV-BYQ-003,2024-06-05 07:04:00,B,1251.4,433.9,80.5,73.1,0.92,2
500KV-BYQ-003,2024-06-05 07:04:00,C,1228.8,450.7,83.1,71.3,0.92,2
500KV-BYQ-001,2024-06-05 07:05:00,A,1266.1,451.1,80.9,72.1,0.93,3
500KV-BYQ-001,2024-06-05 07:05:00,B,1278.9,405.8,92.7,70.0,0.93,3
500KV-BYQ-001,2024-06-05 07:05:00,C,1265.2,402.2,91.0,74.3,0.91,3
500KV-BYQ-002,2024-06-05 07:05:00,A,1230.9,421.9,86.0,75.8,0.93,4
