变压器资产ID,产生时间（yyyy-MM-dd HH:mm:ss）,油温点位1（℃）,油温点位2（℃）
500KV-BYQ-001,2025-06-20 12:00:00,60.5,62.8
500KV-BYQ-002,2025-06-20 12:00:00,59.2,60.5
500KV-BYQ-003,2025-06-20 12:00:00,68.5,69.6
500KV-BYQ-001,2025-06-20 13:00:00,60.1,61.6
500KV-BYQ-002,2025-06-20 13:00:00,57.6,59.7
500KV-BYQ-003,2025-06-20 13:00:00,54.7,57.6
500KV-BYQ-001,2025-06-20 14:00:00,48.7,50.3
500KV-BYQ-002,2025-06-20 14:00:00,66.7,69.1
500KV-BYQ-003,2025-06-20 14:00:00,57.0,59.8
500KV-BYQ-001,2025-06-20 15:00:00,65.9,68.6
500KV-BYQ-002,2025-06-20 15:00:00,67.3,68.9
500KV-BYQ-003,2025-06-20 15:00:00,71.0,73
500KV-BYQ-001,2025-06-20 16:00:00,50.4,52.2
500KV-BYQ-002,2025-06-20 16:00:00,48.5,49.9
500KV-BYQ-003,2025-06-20 16:00:00,50.5,52.2
500KV-BYQ-001,2025-06-20 17:00:00,67.0,68.7
500KV-BYQ-002,2025-06-20 17:00:00,59.0,61.4
500KV-BYQ-003,2025-06-20 17:00:00,54.4,56.3
500KV-BYQ-001,2025-06-20 18:00:00,51.9,54.1
500KV-BYQ-002,2025-06-20 18:00:00,55.6,58.3
500KV-BYQ-003,2025-06-20 18:00:00,61.5,62.6
500KV-BYQ-001,2025-06-20 19:00:00,48.8,50.3
500KV-BYQ-002,2025-06-20 19:00:00,51.6,54.5
500KV-BYQ-003,2025-06-20 19:00:00,66.1,68.6
500KV-BYQ-001,2025-06-20 20:00:00,60.1,62.5
500KV-BYQ-002,2025-06-20 20:00:00,47.1,49.9
500KV-BYQ-003,2025-06-20 20:00:00,68.1,71.0
500KV-BYQ-001,2025-06-20 21:00:00,54.1,56.5
500KV-BYQ-002,2025-06-20 21:00:00,57.1,59.5
500KV-BYQ-003,2025-06-20 21:00:00,61.1,63.4
500KV-BYQ-001,2025-06-20 22:00:00,59.0,60.7
500KV-BYQ-002,2025-06-20 22:00:00,47.5,48.8
500KV-BYQ-003,2025-06-20 22:00:00,47.8,49.3
500KV-BYQ-001,2025-06-20 23:00:00,56.0,58.7
500KV-BYQ-002,2025-06-20 23:00:00,52.2,53.7
500KV-BYQ-003,2025-06-20 23:00:00,61.7,63.5
500KV-BYQ-001,2025-06-21 00:00:00,50.1,51.8
500KV-BYQ-002,2025-06-21 00:00:00,47.6,49.8
500KV-BYQ-003,2025-06-21 00:00:00,50.9,53.5
500KV-BYQ-001,2025-06-21 01:00:00,59.4,62.2
500KV-BYQ-002,2025-06-21 01:00:00,49.1,51.4
500KV-BYQ-003,2025-06-21 01:00:00,64.7,66.7
500KV-BYQ-001,2025-06-21 02:00:00,56.4,59.3
500KV-BYQ-002,2025-06-21 02:00:00,59.0,61.8
500KV-BYQ-003,2025-06-21 02:00:00,58.9,60.0
500KV-BYQ-001,2025-06-21 03:00:00,63.2,65.4
500KV-BYQ-002,2025-06-21 03:00:00,45.7,47.6
500KV-BYQ-003,2025-06-21 03:00:00,54.7,57.1
500KV-BYQ-001,2025-06-21 04:00:00,57.5,59.3
500KV-BYQ-002,2025-06-21 04:00:00,56.8,59.6
500KV-BYQ-003,2025-06-21 04:00:00,46.8,48.6
500KV-BYQ-001,2025-06-21 05:00:00,60.0,62.0
500KV-BYQ-002,2025-06-21 05:00:00,64.8,67.3
500KV-BYQ-003,2025-06-21 05:00:00,66.5,68.2
500KV-BYQ-001,2025-06-21 06:00:00,47.2,48.9
500KV-BYQ-002,2025-06-21 06:00:00,64.5,66.0
500KV-BYQ-003,2025-06-21 06:00:00,54.3,56.2
500KV-BYQ-001,2025-06-21 07:00:00,45.9,48.3
500KV-BYQ-002,2025-06-21 07:00:00,60.4,63.3
500KV-BYQ-003,2025-06-21 07:00:00,52.7,54.7
500KV-BYQ-001,2025-06-21 08:00:00,58.5,60.3
500KV-BYQ-002,2025-06-21 08:00:00,62.9,65.6
500KV-BYQ-003,2025-06-21 08:00:00,62.2,64.8
500KV-BYQ-001,2025-06-21 09:00:00,51.6,53.2
500KV-BYQ-002,2025-06-21 09:00:00,70.7,73
500KV-BYQ-003,2025-06-21 09:00:00,52.8,54.8
500KV-BYQ-001,2025-06-21 10:00:00,59.2,62.2
500KV-BYQ-002,2025-06-21 10:00:00,65.0,67.1
500KV-BYQ-003,2025-06-21 10:00:00,50.1,52.2
500KV-BYQ-001,2025-06-21 11:00:00,55.0,56.1
500KV-BYQ-002,2025-06-21 11:00:00,49.9,51.8
500KV-BYQ-003,2025-06-21 11:00:00,57.3,58.5
500KV-BYQ-001,2025-06-21 12:00:00,55.8,57.6
500KV-BYQ-002,2025-06-21 12:00:00,61.4,64.2
500KV-BYQ-003,2025-06-21 12:00:00,70.2,71.3
500KV-BYQ-001,2025-06-21 13:00:00,66.1,68.3
500KV-BYQ-002,2025-06-21 13:00:00,70.4,71.6
500KV-BYQ-003,2025-06-21 13:00:00,55.3,56.4
500KV-BYQ-001,2025-06-21 14:00:00,50.4,51.6
500KV-BYQ-002,2025-06-21 14:00:00,59.5,61.6
500KV-BYQ-003,2025-06-21 14:00:00,72.7,73
500KV-BYQ-001,2025-06-21 15:00:00,65.9,68.6
500KV-BYQ-002,2025-06-21 15:00:00,66.5,69.0
500KV-BYQ-003,2025-06-21 15:00:00,57.2,59.7
500KV-BYQ-001,2025-06-21 16:00:00,61.3,64.0
500KV-BYQ-002,2025-06-21 16:00:00,56.0,58.5
500KV-BYQ-003,2025-06-21 16:00:00,54.9,56.1
500KV-BYQ-001,2025-06-21 17:00:00,51.7,52.9
500KV-BYQ-002,2025-06-21 17:00:00,53.2,54.7
500KV-BYQ-003,2025-06-21 17:00:00,49.2,52.0
500KV-BYQ-001,2025-06-21 18:00:00,57.2,59.5
500KV-BYQ-002,2025-06-21 18:00:00,70.0,72.1
500KV-BYQ-003,2025-06-21 18:00:00,49.5,52.3
500KV-BYQ-001,2025-06-21 19:00:00,50.0,53.0
500KV-BYQ-002,2025-06-21 19:00:00,68.4,69.7
500KV-BYQ-003,2025-06-21 19:00:00,63.8,66.2
500KV-BYQ-001,2025-06-21 20:00:00,52.7,53.8
500KV-BYQ-002,2025-06-21 20:00:00,53.4,55.5
500KV-BYQ-003,2025-06-21 20:00:00,55.2,56.7
500KV-BYQ-001,2025-06-21 21:00:00,54.3,56.1
500KV-BYQ-002,2025-06-21 21:00:00,50.6,52.9
500KV-BYQ-003,2025-06-21 21:00:00,65.1,66.4
500KV-BYQ-001,2025-06-21 22:00:00,54.2,56.8
500KV-BYQ-002,2025-06-21 22:00:00,45.8,48.0
500KV-BYQ-003,2025-06-21 22:00:00,51.7,53.9
500KV-BYQ-001,2025-06-21 23:00:00,58.7,59.8
500KV-BYQ-002,2025-06-21 23:00:00,62.9,65.8
500KV-BYQ-003,2025-06-21 23:00:00,42.9,44.9
500KV-BYQ-001,2025-06-22 00:00:00,61.8,64.7
500KV-BYQ-002,2025-06-22 00:00:00,64.9,66.0
500KV-BYQ-003,2025-06-22 00:00:00,44.1,46.5
500KV-BYQ-001,2025-06-22 01:00:00,50.1,51.1
500KV-BYQ-002,2025-06-22 01:00:00,51.5,54.0
500KV-BYQ-003,2025-06-22 01:00:00,49.7,51.4
500KV-BYQ-001,2025-06-22 02:00:00,54.9,57.7
500KV-BYQ-002,2025-06-22 02:00:00,53.6,54.8
500KV-BYQ-003,2025-06-22 02:00:00,57.8,59.4
500KV-BYQ-001,2025-06-22 03:00:00,51.0,52.9
500KV-BYQ-002,2025-06-22 03:00:00,66.0,67.4
500KV-BYQ-003,2025-06-22 03:00:00,58.6,60.2
500KV-BYQ-001,2025-06-22 04:00:00,45.3,47.7
500KV-BYQ-002,2025-06-22 04:00:00,56.6,58.8
500KV-BYQ-003,2025-06-22 04:00:00,45.2,48.0
500KV-BYQ-001,2025-06-22 05:00:00,67.1,69.3
500KV-BYQ-002,2025-06-22 05:00:00,51.4,53.6
500KV-BYQ-003,2025-06-22 05:00:00,54.7,57.0
500KV-BYQ-001,2025-06-22 06:00:00,63.5,65.5
500KV-BYQ-002,2025-06-22 06:00:00,61.1,63.3
500KV-BYQ-003,2025-06-22 06:00:00,58.9,61.5
500KV-BYQ-001,2025-06-22 07:00:00,54.6,56.9
500KV-BYQ-002,2025-06-22 07:00:00,56.7,57.8
500KV-BYQ-003,2025-06-22 07:00:00,61.0,62.1
500KV-BYQ-001,2025-06-22 08:00:00,71.3,73
500KV-BYQ-002,2025-06-22 08:00:00,54.3,56.1
500KV-BYQ-003,2025-06-22 08:00:00,51.3,53.4
500KV-BYQ-001,2025-06-22 09:00:00,63.4,66.3
500KV-BYQ-002,2025-06-22 09:00:00,47.4,48.7
500KV-BYQ-003,2025-06-22 09:00:00,58.2,59.9
500KV-BYQ-001,2025-06-22 10:00:00,54.3,56.9
500KV-BYQ-002,2025-06-22 10:00:00,51.2,52.3
500KV-BYQ-003,2025-06-22 10:00:00,54.2,56.9
500KV-BYQ-001,2025-06-22 11:00:00,69.2,70.3
500KV-BYQ-002,2025-06-22 11:00:00,56.2,57.9
500KV-BYQ-003,2025-06-22 11:00:00,54.6,56.7
500KV-BYQ-001,2025-06-22 12:00:00,52.9,54.3
500KV-BYQ-002,2025-06-22 12:00:00,72.6,73
500KV-BYQ-003,2025-06-22 12:00:00,61.4,63.6
500KV-BYQ-001,2025-06-22 13:00:00,59.2,61.6
500KV-BYQ-002,2025-06-22 13:00:00,49.7,52.4
500KV-BYQ-003,2025-06-22 13:00:00,65.9,68.5
500KV-BYQ-001,2025-06-22 14:00:00,61.4,64.4
500KV-BYQ-002,2025-06-22 14:00:00,70.2,71.9
500KV-BYQ-003,2025-06-22 14:00:00,54.2,55.4
500KV-BYQ-001,2025-06-22 15:00:00,48.3,50.4
500KV-BYQ-002,2025-06-22 15:00:00,61.8,62.9
500KV-BYQ-003,2025-06-22 15:00:00,68.2,70.9
500KV-BYQ-001,2025-06-22 16:00:00,54.7,55.9
500KV-BYQ-002,2025-06-22 16:00:00,66.1,67.7
500KV-BYQ-003,2025-06-22 16:00:00,56.6,57.9
500KV-BYQ-001,2025-06-22 17:00:00,68.2,69.8
500KV-BYQ-002,2025-06-22 17:00:00,56.0,57.1
500KV-BYQ-003,2025-06-22 17:00:00,64.0,66.0
500KV-BYQ-001,2025-06-22 18:00:00,47.5,49.6
500KV-BYQ-002,2025-06-22 18:00:00,53.7,54.8
500KV-BYQ-003,2025-06-22 18:00:00,52.1,54.6
500KV-BYQ-001,2025-06-22 19:00:00,47.9,49.6
500KV-BYQ-002,2025-06-22 19:00:00,47.5,50.1
500KV-BYQ-003,2025-06-22 19:00:00,58.4,59.8
500KV-BYQ-001,2025-06-22 20:00:00,52.9,55.7
500KV-BYQ-002,2025-06-22 20:00:00,49.2,52.0
500KV-BYQ-003,2025-06-22 20:00:00,67.2,68.4
500KV-BYQ-001,2025-06-22 21:00:00,61.6,64.4
500KV-BYQ-002,2025-06-22 21:00:00,56.5,59.0
500KV-BYQ-003,2025-06-22 21:00:00,57.2,58.9
500KV-BYQ-001,2025-06-22 22:00:00,51.0,53.5
500KV-BYQ-002,2025-06-22 22:00:00,62.6,65.2
500KV-BYQ-003,2025-06-22 22:00:00,69.7,72.6
500KV-BYQ-001,2025-06-22 23:00:00,64.8,66.2
500KV-BYQ-002,2025-06-22 23:00:00,46.9,49.2
500KV-BYQ-003,2025-06-22 23:00:00,58.1,59.1
500KV-BYQ-001,2025-06-23 00:00:00,63.4,64.8
500KV-BYQ-002,2025-06-23 00:00:00,49.1,50.8
500KV-BYQ-003,2025-06-23 00:00:00,49.7,52.0
500KV-BYQ-001,2025-06-23 01:00:00,56.6,58.2
500KV-BYQ-002,2025-06-23 01:00:00,51.0,52.2
500KV-BYQ-003,2025-06-23 01:00:00,47.3,48.3
500KV-BYQ-001,2025-06-23 02:00:00,54.2,56.2
500KV-BYQ-002,2025-06-23 02:00:00,55.7,57.3
500KV-BYQ-003,2025-06-23 02:00:00,57.1,59.8
500KV-BYQ-001,2025-06-23 03:00:00,51.3,53.0
500KV-BYQ-002,2025-06-23 03:00:00,52.4,54.0
500KV-BYQ-003,2025-06-23 03:00:00,62.3,64.0
500KV-BYQ-001,2025-06-23 04:00:00,63.2,65.9
500KV-BYQ-002,2025-06-23 04:00:00,63.6,64.7
500KV-BYQ-003,2025-06-23 04:00:00,47.0,49.5
500KV-BYQ-001,2025-06-23 05:00:00,65.2,67.2
500KV-BYQ-002,2025-06-23 05:00:00,54.9,56.0
500KV-BYQ-003,2025-06-23 05:00:00,48.7,50.0
500KV-BYQ-001,2025-06-23 06:00:00,52.8,55.5
500KV-BYQ-002,2025-06-23 06:00:00,50.3,52.1
500KV-BYQ-003,2025-06-23 06:00:00,44.7,46.0
500KV-BYQ-001,2025-06-23 07:00:00,51.7,53.5
500KV-BYQ-002,2025-06-23 07:00:00,51.6,52.6
500KV-BYQ-003,2025-06-23 07:00:00,60.4,61.9
500KV-BYQ-001,2025-06-23 08:00:00,66.7,68.6
500KV-BYQ-002,2025-06-23 08:00:00,60.1,61.2
500KV-BYQ-003,2025-06-23 08:00:00,48.9,50.1
500KV-BYQ-001,2025-06-23 09:00:00,49.0,51.4
500KV-BYQ-002,2025-06-23 09:00:00,61.4,63.8
500KV-BYQ-003,2025-06-23 09:00:00,68.8,70.8
500KV-BYQ-001,2025-06-23 10:00:00,54.6,56.5
500KV-BYQ-002,2025-06-23 10:00:00,70.8,72.2
500KV-BYQ-003,2025-06-23 10:00:00,59.8,61.6
500KV-BYQ-001,2025-06-23 11:00:00,54.1,56.8
500KV-BYQ-002,2025-06-23 11:00:00,59.5,60.5
500KV-BYQ-003,2025-06-23 11:00:00,62.6,64.4
500KV-BYQ-001,2025-06-23 12:00:00,57.3,60.0
500KV-BYQ-002,2025-06-23 12:00:00,51.1,53.5
500KV-BYQ-003,2025-06-23 12:00:00,56.0,57.5
500KV-BYQ-001,2025-06-23 13:00:00,53.3,55.2
500KV-BYQ-002,2025-06-23 13:00:00,69.2,71.9
500KV-BYQ-003,2025-06-23 13:00:00,57.7,60.1
500KV-BYQ-001,2025-06-23 14:00:00,47.8,50.0
500KV-BYQ-002,2025-06-23 14:00:00,48.4,50.2
500KV-BYQ-003,2025-06-23 14:00:00,70.4,71.9
500KV-BYQ-001,2025-06-23 15:00:00,69.8,72.5
500KV-BYQ-002,2025-06-23 15:00:00,67.7,69.5
500KV-BYQ-003,2025-06-23 15:00:00,69.2,70.8
500KV-BYQ-001,2025-06-23 16:00:00,65.9,67.8
500KV-BYQ-002,2025-06-23 16:00:00,48.3,49.5
500KV-BYQ-003,2025-06-23 16:00:00,58.9,60.0
500KV-BYQ-001,2025-06-23 17:00:00,58.6,61.2
500KV-BYQ-002,2025-06-23 17:00:00,47.8,49.9
500KV-BYQ-003,2025-06-23 17:00:00,65.2,67.3
500KV-BYQ-001,2025-06-23 18:00:00,57.0,58.4
500KV-BYQ-002,2025-06-23 18:00:00,64.0,66.1
500KV-BYQ-003,2025-06-23 18:00:00,55.5,57.3
500KV-BYQ-001,2025-06-23 19:00:00,50.1,52.1
500KV-BYQ-002,2025-06-23 19:00:00,53.2,55.1
500KV-BYQ-003,2025-06-23 19:00:00,53.0,56.0
500KV-BYQ-001,2025-06-23 20:00:00,46.5,48.2
500KV-BYQ-002,2025-06-23 20:00:00,54.7,57.5
500KV-BYQ-003,2025-06-23 20:00:00,50.0,52.8
500KV-BYQ-001,2025-06-23 21:00:00,65.6,66.7
500KV-BYQ-002,2025-06-23 21:00:00,62.7,65.2
500KV-BYQ-003,2025-06-23 21:00:00,66.2,67.5
500KV-BYQ-001,2025-06-23 22:00:00,53.2,55.7
500KV-BYQ-002,2025-06-23 22:00:00,57.6,59.1
500KV-BYQ-003,2025-06-23 22:00:00,65.8,68.1
500KV-BYQ-001,2025-06-23 23:00:00,54.5,56.6
500KV-BYQ-002,2025-06-23 23:00:00,50.4,51.7
500KV-BYQ-003,2025-06-23 23:00:00,55.9,58.7
500KV-BYQ-001,2025-06-24 00:00:00,50.5,52.5
500KV-BYQ-002,2025-06-24 00:00:00,54.3,57.1
500KV-BYQ-003,2025-06-24 00:00:00,45.4,47.0
500KV-BYQ-001,2025-06-24 01:00:00,58.1,59.2
500KV-BYQ-002,2025-06-24 01:00:00,60.0,61.6
500KV-BYQ-003,2025-06-24 01:00:00,48.0,50.1
500KV-BYQ-001,2025-06-24 02:00:00,57.6,59.2
500KV-BYQ-002,2025-06-24 02:00:00,50.2,52.5
500KV-BYQ-003,2025-06-24 02:00:00,45.9,48.6
500KV-BYQ-001,2025-06-24 03:00:00,51.0,53.5
500KV-BYQ-002,2025-06-24 03:00:00,64.8,66.4
500KV-BYQ-003,2025-06-24 03:00:00,65.1,67.9
500KV-BYQ-001,2025-06-24 04:00:00,48.2,49.5
500KV-BYQ-002,2025-06-24 04:00:00,55.1,57.4
500KV-BYQ-003,2025-06-24 04:00:00,64.1,66.1
500KV-BYQ-001,2025-06-24 05:00:00,46.9,49.3
500KV-BYQ-002,2025-06-24 05:00:00,45.5,47.0
500KV-BYQ-003,2025-06-24 05:00:00,50.9,52.5
500KV-BYQ-001,2025-06-24 06:00:00,60.2,61.4
500KV-BYQ-002,2025-06-24 06:00:00,54.4,55.5
500KV-BYQ-003,2025-06-24 06:00:00,55.2,56.8
500KV-BYQ-001,2025-06-24 07:00:00,64.8,67.3
500KV-BYQ-002,2025-06-24 07:00:00,63.2,65.4
500KV-BYQ-003,2025-06-24 07:00:00,50.0,52.9
500KV-BYQ-001,2025-06-24 08:00:00,54.0,55.0
500KV-BYQ-002,2025-06-24 08:00:00,72.6,73
500KV-BYQ-003,2025-06-24 08:00:00,54.4,56.3
500KV-BYQ-001,2025-06-24 09:00:00,71.1,72.7
500KV-BYQ-002,2025-06-24 09:00:00,58.0,60.9
500KV-BYQ-003,2025-06-24 09:00:00,49.7,51.0
500KV-BYQ-001,2025-06-24 10:00:00,73,73
500KV-BYQ-002,2025-06-24 10:00:00,65.0,67.5
500KV-BYQ-003,2025-06-24 10:00:00,65.0,66.9
500KV-BYQ-001,2025-06-24 11:00:00,66.8,69.6
500KV-BYQ-002,2025-06-24 11:00:00,53.3,54.3
500KV-BYQ-003,2025-06-24 11:00:00,58.9,61.9
500KV-BYQ-001,2025-06-24 12:00:00,51.4,53.8
500KV-BYQ-002,2025-06-24 12:00:00,70.9,72.9
500KV-BYQ-003,2025-06-24 12:00:00,53.5,55.2
500KV-BYQ-001,2025-06-24 13:00:00,62.4,65.1
500KV-BYQ-002,2025-06-24 13:00:00,52.0,54.1
500KV-BYQ-003,2025-06-24 13:00:00,71.1,73
500KV-BYQ-001,2025-06-24 14:00:00,46.7,48.9
500KV-BYQ-002,2025-06-24 14:00:00,66.2,68.2
500KV-BYQ-003,2025-06-24 14:00:00,54.3,56.7
500KV-BYQ-001,2025-06-24 15:00:00,64.4,67.0
500KV-BYQ-002,2025-06-24 15:00:00,47.9,48.9
500KV-BYQ-003,2025-06-24 15:00:00,60.2,61.4
500KV-BYQ-001,2025-06-24 16:00:00,69.7,71.2
500KV-BYQ-002,2025-06-24 16:00:00,61.0,63.4
500KV-BYQ-003,2025-06-24 16:00:00,61.4,63.5
500KV-BYQ-001,2025-06-24 17:00:00,71.2,73
500KV-BYQ-002,2025-06-24 17:00:00,55.0,56.8
500KV-BYQ-003,2025-06-24 17:00:00,52.2,54.3
500KV-BYQ-001,2025-06-24 18:00:00,67.7,69.7
500KV-BYQ-002,2025-06-24 18:00:00,53.7,56.3
500KV-BYQ-003,2025-06-24 18:00:00,60.5,62.5
500KV-BYQ-001,2025-06-24 19:00:00,67.6,68.6
500KV-BYQ-002,2025-06-24 19:00:00,69.1,71.1
500KV-BYQ-003,2025-06-24 19:00:00,58.8,61.7
500KV-BYQ-001,2025-06-24 20:00:00,48.1,50.7
500KV-BYQ-002,2025-06-24 20:00:00,56.3,58.1
500KV-BYQ-003,2025-06-24 20:00:00,65.0,66.5
500KV-BYQ-001,2025-06-24 21:00:00,60.7,62.2
500KV-BYQ-002,2025-06-24 21:00:00,64.6,65.8
500KV-BYQ-003,2025-06-24 21:00:00,66.4,68.9
500KV-BYQ-001,2025-06-24 22:00:00,53.3,55.5
500KV-BYQ-002,2025-06-24 22:00:00,64.7,66.4
500KV-BYQ-003,2025-06-24 22:00:00,67.5,69.0
500KV-BYQ-001,2025-06-24 23:00:00,48.7,50.5
500KV-BYQ-002,2025-06-24 23:00:00,46.9,49.5
500KV-BYQ-003,2025-06-24 23:00:00,66.9,68.0
500KV-BYQ-001,2025-06-25 00:00:00,58.0,60.6
500KV-BYQ-002,2025-06-25 00:00:00,63.5,65.4
500KV-BYQ-003,2025-06-25 00:00:00,63.0,64.5
500KV-BYQ-001,2025-06-25 01:00:00,47.3,50.1
500KV-BYQ-002,2025-06-25 01:00:00,62.0,63.3
500KV-BYQ-003,2025-06-25 01:00:00,46.8,49.7
500KV-BYQ-001,2025-06-25 02:00:00,65.8,67.1
500KV-BYQ-002,2025-06-25 02:00:00,51.6,53.8
500KV-BYQ-003,2025-06-25 02:00:00,54.4,57.0
500KV-BYQ-001,2025-06-25 03:00:00,53.6,56.4
500KV-BYQ-002,2025-06-25 03:00:00,60.4,61.6
500KV-BYQ-003,2025-06-25 03:00:00,55.2,58.2
500KV-BYQ-001,2025-06-25 04:00:00,51.1,53.0
500KV-BYQ-002,2025-06-25 04:00:00,54.2,55.6
500KV-BYQ-003,2025-06-25 04:00:00,48.5,50.8
500KV-BYQ-001,2025-06-25 05:00:00,48.0,51.0
500KV-BYQ-002,2025-06-25 05:00:00,64.4,65.8
500KV-BYQ-003,2025-06-25 05:00:00,49.3,52.1
500KV-BYQ-001,2025-06-25 06:00:00,49.9,51.9
500KV-BYQ-002,2025-06-25 06:00:00,64.1,65.6
500KV-BYQ-003,2025-06-25 06:00:00,59.0,61.0
500KV-BYQ-001,2025-06-25 07:00:00,66.5,67.7
500KV-BYQ-002,2025-06-25 07:00:00,59.6,60.7
500KV-BYQ-003,2025-06-25 07:00:00,49.9,51.9
500KV-BYQ-001,2025-06-25 08:00:00,61.6,62.7
500KV-BYQ-002,2025-06-25 08:00:00,52.8,55.0
500KV-BYQ-003,2025-06-25 08:00:00,57.8,60.3
500KV-BYQ-001,2025-06-25 09:00:00,68.6,70.9
500KV-BYQ-002,2025-06-25 09:00:00,50.0,51.5
500KV-BYQ-003,2025-06-25 09:00:00,65.8,68.2
500KV-BYQ-001,2025-06-25 10:00:00,55.4,57.6
500KV-BYQ-002,2025-06-25 10:00:00,56.0,58.3
500KV-BYQ-003,2025-06-25 10:00:00,47.9,50.5
500KV-BYQ-001,2025-06-25 11:00:00,65.4,66.8
500KV-BYQ-002,2025-06-25 11:00:00,51.6,53.5
500KV-BYQ-003,2025-06-25 11:00:00,66.0,67.8
500KV-BYQ-001,2025-06-25 12:00:00,52.2,54.2
500KV-BYQ-002,2025-06-25 12:00:00,50.9,53.3
500KV-BYQ-003,2025-06-25 12:00:00,65.8,67.4
500KV-BYQ-001,2025-06-25 13:00:00,68.8,70.6
500KV-BYQ-002,2025-06-25 13:00:00,53.7,55.8
500KV-BYQ-003,2025-06-25 13:00:00,51.4,54.0
500KV-BYQ-001,2025-06-25 14:00:00,53.0,54.3
500KV-BYQ-002,2025-06-25 14:00:00,64.8,67.5
500KV-BYQ-003,2025-06-25 14:00:00,71.6,72.8
500KV-BYQ-001,2025-06-25 15:00:00,54.8,57.4
500KV-BYQ-002,2025-06-25 15:00:00,70.2,73.0
500KV-BYQ-003,2025-06-25 15:00:00,66.7,68.9
500KV-BYQ-001,2025-06-25 16:00:00,64.7,67.5
500KV-BYQ-002,2025-06-25 16:00:00,53.1,55.4
500KV-BYQ-003,2025-06-25 16:00:00,57.3,58.4
500KV-BYQ-001,2025-06-25 17:00:00,58.5,60.1
500KV-BYQ-002,2025-06-25 17:00:00,50.2,53.0
500KV-BYQ-003,2025-06-25 17:00:00,69.1,70.8
500KV-BYQ-001,2025-06-25 18:00:00,65.3,67.9
500KV-BYQ-002,2025-06-25 18:00:00,70.3,72.7
500KV-BYQ-003,2025-06-25 18:00:00,49.2,50.5
500KV-BYQ-001,2025-06-25 19:00:00,50.7,52.2
500KV-BYQ-002,2025-06-25 19:00:00,46.6,48.1
500KV-BYQ-003,2025-06-25 19:00:00,62.2,64.1
500KV-BYQ-001,2025-06-25 20:00:00,68.8,70.9
500KV-BYQ-002,2025-06-25 20:00:00,69.6,70.8
500KV-BYQ-003,2025-06-25 20:00:00,44.8,46.7
500KV-BYQ-001,2025-06-25 21:00:00,63.0,64.5
500KV-BYQ-002,2025-06-25 21:00:00,48.4,49.6
500KV-BYQ-003,2025-06-25 21:00:00,61.6,64.2
500KV-BYQ-001,2025-06-25 22:00:00,50.4,52.1
500KV-BYQ-002,2025-06-25 22:00:00,54.6,56.9
500KV-BYQ-003,2025-06-25 22:00:00,60.1,62.3
500KV-BYQ-001,2025-06-25 23:00:00,65.2,67.7
500KV-BYQ-002,2025-06-25 23:00:00,56.3,58.2
500KV-BYQ-003,2025-06-25 23:00:00,63.8,65.0
500KV-BYQ-001,2025-06-26 00:00:00,44.2,45.5
500KV-BYQ-002,2025-06-26 00:00:00,63.2,64.6
500KV-BYQ-003,2025-06-26 00:00:00,48.4,50.2
500KV-BYQ-001,2025-06-26 01:00:00,44.0,45.9
500KV-BYQ-002,2025-06-26 01:00:00,46.3,49.2
500KV-BYQ-003,2025-06-26 01:00:00,45.5,47.3
500KV-BYQ-001,2025-06-26 02:00:00,49.6,51.0
500KV-BYQ-002,2025-06-26 02:00:00,58.5,60.8
500KV-BYQ-003,2025-06-26 02:00:00,60.8,63.5
500KV-BYQ-001,2025-06-26 03:00:00,53.1,55.1
500KV-BYQ-002,2025-06-26 03:00:00,53.6,55.7
500KV-BYQ-003,2025-06-26 03:00:00,61.2,62.5
500KV-BYQ-001,2025-06-26 04:00:00,60.3,63.0
500KV-BYQ-002,2025-06-26 04:00:00,61.4,63.1
500KV-BYQ-003,2025-06-26 04:00:00,53.7,55.6
500KV-BYQ-001,2025-06-26 05:00:00,54.2,55.9
500KV-BYQ-002,2025-06-26 05:00:00,66.3,68.9
500KV-BYQ-003,2025-06-26 05:00:00,51.7,53.0
500KV-BYQ-001,2025-06-26 06:00:00,61.6,63.5
500KV-BYQ-002,2025-06-26 06:00:00,50.4,52.2
500KV-BYQ-003,2025-06-26 06:00:00,51.3,54.2
500KV-BYQ-001,2025-06-26 07:00:00,59.3,61.1
500KV-BYQ-002,2025-06-26 07:00:00,44.1,46.6
500KV-BYQ-003,2025-06-26 07:00:00,58.6,60.5
500KV-BYQ-001,2025-06-26 08:00:00,57.1,59.8
500KV-BYQ-002,2025-06-26 08:00:00,55.3,56.9
500KV-BYQ-003,2025-06-26 08:00:00,61.9,64.5
500KV-BYQ-001,2025-06-26 09:00:00,63.1,64.1
500KV-BYQ-002,2025-06-26 09:00:00,53.1,55.4
500KV-BYQ-003,2025-06-26 09:00:00,55.7,58.3
500KV-BYQ-001,2025-06-26 10:00:00,47.6,49.2
500KV-BYQ-002,2025-06-26 10:00:00,66.5,69.4
500KV-BYQ-003,2025-06-26 10:00:00,62.1,64.6
500KV-BYQ-001,2025-06-26 11:00:00,58.4,59.5
500KV-BYQ-002,2025-06-26 11:00:00,63.0,65.3
500KV-BYQ-003,2025-06-26 11:00:00,55.3,56.6
500KV-BYQ-001,2025-06-26 12:00:00,66.5,67.6
500KV-BYQ-002,2025-06-26 12:00:00,63.4,66.1
500KV-BYQ-003,2025-06-26 12:00:00,71.0,73
500KV-BYQ-001,2025-06-26 13:00:00,70.1,72.1
