变压器资产ID,相位,数据时间,氢气(μL/L),甲烷(μL/L),乙烷(μL/L),乙烯(μL/L),乙炔(μL/L),一氧化碳(μL/L),二氧化碳(μL/L),总烃(μL/L),运行状态,数据质量
500KV-1号主变压器,B相,2024-07-20 00:00:00,148.06,14.2,5.01,1.93,0.71,1150.0,1463.0,22.03,注意,良好
500KV-2号主变压器,B相,2024-07-20 00:00:00,171.26,8.98,14.0,10.86,0.3,187.5,1881.7,32.47,注意,差
500KV-3号主变压器,B相,2024-07-20 00:00:00,54.3,11.2,21.8,17.57,0.18,592.0,2756.2,51.0,注意,一般
500KV-1号主变压器,B相,2024-07-21 00:00:00,235.51,8.57,7.73,15.88,0.49,1037.9,3654.5,32.6,注意,良好
500KV-2号主变压器,B相,2024-07-21 00:00:00,25.93,8.0,26.23,18.12,0.6,363.8,2220.1,52.22,注意,良好
500KV-3号主变压器,B相,2024-07-21 00:00:00,119.71,12.88,17.54,12.72,0.22,707.8,1816.5,41.65,注意,良好
500KV-1号主变压器,B相,2024-07-22 00:00:00,182.4,5.91,10.9,9.11,0.06,901.4,2427.0,26.32,注意,良好
500KV-2号主变压器,B相,2024-07-22 00:00:00,190.27,11.13,18.03,6.42,0.65,229.0,1130.3,34.83,注意,良好
500KV-3号主变压器,B相,2024-07-22 00:00:00,240.68,9.81,9.11,17.24,0.29,880.0,935.3,36.89,注意,良好
500KV-1号主变压器,B相,2024-07-23 00:00:00,88.11,10.02,14.65,8.08,0.36,248.9,2210.5,33.09,注意,良好
500KV-2号主变压器,B相,2024-07-23 00:00:00,99.04,13.61,20.92,13.72,0.2,1166.3,3363.0,47.98,注意,良好
500KV-3号主变压器,B相,2024-07-23 00:00:00,223.44,8.32,30.94,0.42,0.77,1244.3,2685.2,39.39,注意,良好
500KV-1号主变压器,B相,2024-07-24 00:00:00,154.08,12.79,9.81,1.78,0.74,837.5,2387.3,24.72,注意,良好
500KV-2号主变压器,B相,2024-07-24 00:00:00,159.73,10.56,16.89,2.01,1.16,554.8,1947.2,30.05,注意,良好
500KV-3号主变压器,B相,2024-07-24 00:00:00,47.01,11.59,6.96,13.56,0.18,425.7,3322.0,33.3,注意,差
500KV-1号主变压器,B相,2024-07-25 00:00:00,129.7,3.94,19.08,19.49,1.02,1110.7,2671.1,43.28,注意,良好
500KV-2号主变压器,B相,2024-07-25 00:00:00,9.94,6.14,21.33,4.23,0.46,1023.8,1421.1,31.47,注意,良好
500KV-3号主变压器,B相,2024-07-25 00:00:00,50.26,5.72,8.46,8.99,0.62,1247.4,1755.8,23.98,注意,良好
500KV-1号主变压器,B相,2024-07-26 00:00:00,182.35,13.78,23.98,5.23,0.91,755.5,912.8,45.21,注意,良好
500KV-2号主变压器,B相,2024-07-26 00:00:00,87.98,7.0,28.3,3.35,1.0,354.6,1131.5,38.07,注意,良好
500KV-3号主变压器,B相,2024-07-26 00:00:00,8.76,8.35,5.63,19.01,0.56,934.1,2188.6,34.79,注意,良好
500KV-1号主变压器,B相,2024-07-27 00:00:00,225.43,8.93,20.2,4.51,0.48,871.5,2518.5,35.3,注意,良好
500KV-2号主变压器,B相,2024-07-27 00:00:00,221.13,11.45,16.92,8.81,0.19,1033.0,3547.8,36.18,注意,良好
500KV-3号主变压器,B相,2024-07-27 00:00:00,241.3,4.7,15.02,3.14,0.66,967.1,2767.5,22.83,注意,良好
500KV-1号主变压器,B相,2024-07-28 00:00:00,77.79,13.34,23.13,6.7,0.5,1342.1,3578.9,45.28,注意,良好
500KV-2号主变压器,B相,2024-07-28 00:00:00,76.54,10.45,5.51,17.03,0.37,1071.5,1830.2,32.7,注意,良好
500KV-3号主变压器,B相,2024-07-28 00:00:00,126.91,3.93,10.28,3.62,0.48,229.8,3527.1,17.67,注意,良好
500KV-1号主变压器,B相,2024-07-29 00:00:00,133.27,4.63,16.42,15.85,0.05,339.2,2944.6,37.99,注意,良好
500KV-2号主变压器,B相,2024-07-29 00:00:00,34.33,5.37,2.38,7.2,0.0,1086.3,1084.6,15.53,注意,良好
500KV-3号主变压器,B相,2024-07-29 00:00:00,229.8,4.07,14.93,15.33,0.04,1031.5,1796.8,34.01,注意,良好
500KV-1号主变压器,B相,2024-07-30 00:00:00,234.49,6.13,17.2,5.69,0.51,218.9,947.5,28.66,注意,良好
500KV-2号主变压器,B相,2024-07-30 00:00:00,133.02,6.47,9.8,2.6,0.4,1216.1,1066.2,19.42,注意,良好
500KV-3号主变压器,B相,2024-07-30 00:00:00,163.2,10.88,10.33,12.35,0.4,1279.4,1160.6,34.33,注意,良好
500KV-1号主变压器,B相,2024-07-31 00:00:00,242.34,13.85,20.33,12.3,0.53,1329.5,2644.5,47.83,注意,良好
500KV-2号主变压器,B相,2024-07-31 00:00:00,34.13,3.54,15.04,0.59,0.57,598.4,2352.7,20.2,注意,良好
500KV-3号主变压器,B相,2024-07-31 00:00:00,230.98,13.53,9.34,21.59,0.74,217.6,3259.2,45.67,注意,良好
500KV-1号主变压器,B相,2024-08-01 00:00:00,82.11,14.18,16.56,9.37,1.14,212.4,2690.4,40.21,注意,良好
500KV-2号主变压器,B相,2024-08-01 00:00:00,71.0,11.54,13.77,7.81,0.14,393.3,1273.6,34.49,注意,良好
500KV-3号主变压器,B相,2024-08-01 00:00:00,220.19,11.62,31.37,14.6,0.12,656.1,824.8,55.82,注意,良好
500KV-1号主变压器,B相,2024-08-02 00:00:00,111.92,11.07,13.04,12.65,0.38,815.2,1933.8,37.16,注意,一般
500KV-2号主变压器,B相,2024-08-02 00:00:00,45.49,14.79,28.89,16.38,0.24,471.8,2713.6,61.84,注意,良好
500KV-3号主变压器,B相,2024-08-02 00:00:00,78.46,10.34,7.55,1.17,0.61,1114.4,2899.4,20.2,注意,良好
500KV-1号主变压器,B相,2024-08-03 00:00:00,206.82,9.0,8.56,10.15,0.45,1126.3,1226.0,28.76,注意,良好
500KV-2号主变压器,B相,2024-08-03 00:00:00,68.16,13.2,16.81,10.74,0.48,991.4,1630.7,39.46,注意,良好
500KV-3号主变压器,B相,2024-08-03 00:00:00,192.44,9.77,8.33,6.51,1.0,1146.8,2651.7,26.17,注意,良好
500KV-1号主变压器,B相,2024-08-04 00:00:00,42.87,12.17,17.57,11.37,0.34,937.3,2984.1,40.65,注意,良好
500KV-2号主变压器,B相,2024-08-04 00:00:00,91.74,14.06,11.32,18.87,0.26,383.1,1236.5,46.25,注意,良好
500KV-3号主变压器,B相,2024-08-04 00:00:00,100.64,11.85,19.62,3.75,1.1,844.4,2389.3,36.79,注意,良好
500KV-1号主变压器,B相,2024-08-05 00:00:00,184.68,12.44,7.22,8.93,0.59,1301.6,2001.0,28.8,注意,良好
500KV-2号主变压器,B相,2024-08-05 00:00:00,86.84,13.33,11.83,0.82,0.28,1049.3,2331.0,27.37,注意,良好
500KV-3号主变压器,B相,2024-08-05 00:00:00,38.87,4.09,12.77,17.18,0.26,221.0,2717.3,33.78,注意,良好
500KV-1号主变压器,B相,2024-08-06 00:00:00,53.03,12.44,9.28,5.95,1.06,514.8,2919.8,28.26,注意,良好
500KV-2号主变压器,B相,2024-08-06 00:00:00,164.74,3.79,29.23,16.97,0.58,385.5,2826.6,50.11,注意,良好
500KV-3号主变压器,B相,2024-08-06 00:00:00,81.02,14.65,22.34,12.81,0.74,394.4,2155.2,50.04,注意,良好
500KV-1号主变压器,B相,2024-08-07 00:00:00,140.47,12.64,17.14,0.34,0.79,1026.8,2304.6,31.8,注意,良好
500KV-2号主变压器,B相,2024-08-07 00:00:00,69.48,4.29,13.26,16.81,0.02,892.1,2050.0,34.12,注意,一般
500KV-3号主变压器,B相,2024-08-07 00:00:00,152.69,12.55,19.21,7.84,0.44,404.7,1231.6,39.23,注意,良好
500KV-1号主变压器,B相,2024-08-08 00:00:00,240.96,12.68,20.63,7.39,0.42,263.4,1929.2,40.66,注意,良好
500KV-2号主变压器,B相,2024-08-08 00:00:00,126.76,5.39,23.39,12.07,1.07,1169.5,1170.7,42.43,注意,差
500KV-3号主变压器,B相,2024-08-08 00:00:00,143.39,8.02,22.83,11.0,0.15,371.6,847.2,42.31,注意,良好
500KV-1号主变压器,B相,2024-08-09 00:00:00,110.57,13.65,13.47,18.81,0.29,582.1,2604.6,48.48,注意,良好
500KV-2号主变压器,B相,2024-08-09 00:00:00,72.64,7.97,9.04,12.36,0.87,1113.5,1365.0,31.19,注意,良好
500KV-3号主变压器,B相,2024-08-09 00:00:00,230.2,6.75,6.75,1.04,0.64,630.3,2937.1,15.76,注意,良好
500KV-1号主变压器,B相,2024-08-10 00:00:00,244.1,11.46,1.54,4.08,0.05,338.3,2241.8,17.34,注意,良好
500KV-2号主变压器,B相,2024-08-10 00:00:00,183.87,14.55,25.04,10.04,0.43,259.6,3007.9,50.8,注意,一般
500KV-3号主变压器,B相,2024-08-10 00:00:00,79.63,8.52,24.5,17.23,1.15,1212.6,2936.3,53.38,注意,良好
500KV-1号主变压器,B相,2024-08-11 00:00:00,9.14,14.69,17.42,6.86,0.46,1372.2,2390.4,38.35,注意,良好
500KV-2号主变压器,B相,2024-08-11 00:00:00,156.0,6.95,6.7,17.57,0.44,1014.8,1625.8,32.4,注意,良好
500KV-3号主变压器,B相,2024-08-11 00:00:00,189.95,11.11,4.63,10.32,0.3,461.7,1871.9,26.46,注意,良好
500KV-1号主变压器,B相,2024-08-12 00:00:00,49.69,4.58,23.84,9.32,0.19,927.6,1361.4,37.14,注意,良好
500KV-2号主变压器,B相,2024-08-12 00:00:00,200.43,6.31,20.33,6.41,0.18,1298.0,3696.6,31.8,注意,良好
500KV-3号主变压器,B相,2024-08-12 00:00:00,224.2,4.97,31.76,11.21,0.72,195.1,2435.6,46.6,注意,一般
500KV-1号主变压器,B相,2024-08-13 00:00:00,27.36,8.59,19.15,3.08,0.81,931.2,2612.4,30.73,注意,良好
500KV-2号主变压器,B相,2024-08-13 00:00:00,143.45,9.67,8.54,2.35,0.66,355.7,2394.7,20.56,注意,良好
500KV-3号主变压器,B相,2024-08-13 00:00:00,37.29,10.12,3.21,12.95,0.25,1191.4,862.2,27.69,注意,良好
500KV-1号主变压器,B相,2024-08-14 00:00:00,70.91,13.22,20.24,15.9,0.06,845.6,3186.5,49.25,注意,良好
500KV-2号主变压器,B相,2024-08-14 00:00:00,121.19,3.18,14.83,2.2,0.18,342.6,1618.9,21.16,注意,良好
500KV-3号主变压器,B相,2024-08-14 00:00:00,79.61,4.14,1.26,7.16,0.44,762.8,3175.0,13.23,注意,一般
500KV-1号主变压器,B相,2024-08-15 00:00:00,262.27,12.18,1.29,9.93,0.18,831.9,3529.5,24.11,注意,良好
500KV-2号主变压器,B相,2024-08-15 00:00:00,226.16,13.54,23.41,12.6,0.86,1110.6,2563.7,50.91,注意,一般
500KV-3号主变压器,B相,2024-08-15 00:00:00,57.54,4.79,21.8,2.6,0.29,922.3,2061.3,28.56,注意,良好
500KV-1号主变压器,B相,2024-08-16 00:00:00,151.73,12.55,15.07,17.42,0.75,600.3,1884.7,45.71,注意,良好
500KV-2号主变压器,B相,2024-08-16 00:00:00,161.77,7.78,0.83,8.32,0.52,1202.7,2356.3,16.93,注意,良好
500KV-3号主变压器,B相,2024-08-16 00:00:00,186.07,14.4,20.56,6.53,0.29,611.2,2817.8,42.59,注意,良好
500KV-1号主变压器,B相,2024-08-17 00:00:00,186.68,13.42,2.88,14.51,0.07,1263.1,2251.5,29.45,注意,良好
500KV-2号主变压器,B相,2024-08-17 00:00:00,180.96,9.92,24.61,15.25,1.41,278.5,2396.8,48.84,注意,良好
500KV-3号主变压器,B相,2024-08-17 00:00:00,90.09,11.05,7.83,5.78,0.57,1268.9,2626.3,24.21,注意,良好
500KV-1号主变压器,B相,2024-08-18 00:00:00,219.53,13.71,13.34,5.75,0.19,1008.4,2087.1,32.45,注意,良好
500KV-2号主变压器,B相,2024-08-18 00:00:00,183.24,11.37,17.41,1.43,0.69,1328.2,1822.2,31.54,注意,良好
500KV-3号主变压器,B相,2024-08-18 00:00:00,215.85,6.48,11.99,5.13,0.49,577.1,1486.6,23.05,注意,良好
500KV-1号主变压器,B相,2024-08-19 00:00:00,61.01,12.5,5.11,15.3,1.24,884.8,1736.6,33.87,注意,良好
500KV-2号主变压器,B相,2024-08-19 00:00:00,104.79,12.04,26.44,1.56,0.02,1161.1,2432.9,38.95,注意,良好
500KV-3号主变压器,B相,2024-08-19 00:00:00,140.97,5.35,14.3,3.17,0.2,827.6,3829.7,21.97,注意,良好
500KV-1号主变压器,B相,2024-08-20 00:00:00,112.48,12.93,0.87,7.48,0.86,1186.9,3053.1,21.8,注意,良好
500KV-2号主变压器,B相,2024-08-20 00:00:00,163.11,12.08,16.27,2.13,0.97,936.7,1455.2,30.72,注意,良好
500KV-3号主变压器,B相,2024-08-20 00:00:00,58.71,9.69,15.49,17.83,7.2,1242.3,867.8,49.12,注意,良好
500KV-1号主变压器,B相,2024-08-21 00:00:00,67.64,14.12,14.88,4.11,0.3,726.8,977.7,32.58,注意,良好
500KV-2号主变压器,B相,2024-08-21 00:00:00,130.06,5.55,15.11,2.42,0.38,696.4,1262.1,24.14,注意,良好
500KV-3号主变压器,B相,2024-08-21 00:00:00,226.61,13.27,8.23,13.98,0.27,807.8,1469.2,34.55,注意,一般
500KV-1号主变压器,B相,2024-08-22 00:00:00,121.33,4.3,5.04,8.58,0.12,1025.7,1119.4,18.12,注意,良好
500KV-2号主变压器,B相,2024-08-22 00:00:00,129.78,7.05,5.25,1.56,0.09,1324.4,2067.7,14.25,注意,良好
500KV-3号主变压器,B相,2024-08-22 00:00:00,32.28,3.53,26.83,10.32,0.58,766.2,2309.6,41.9,注意,良好
500KV-1号主变压器,B相,2024-08-23 00:00:00,7.0,9.66,2.69,3.12,0.0,1288.1,3467.8,15.92,正常,一般
500KV-2号主变压器,B相,2024-08-23 00:00:00,128.34,8.09,1.11,8.19,0.23,916.8,972.4,17.03,注意,良好
500KV-3号主变压器,B相,2024-08-23 00:00:00,20.19,7.33,7.63,4.1,0.23,615.1,1941.1,19.49,注意,一般
500KV-1号主变压器,B相,2024-08-24 00:00:00,130.12,7.24,14.26,12.09,0.52,1246.4,3108.4,34.22,注意,一般
500KV-2号主变压器,B相,2024-08-24 00:00:00,214.82,5.62,14.86,2.06,0.28,969.3,3467.5,23.37,注意,一般
500KV-3号主变压器,B相,2024-08-24 00:00:00,72.52,5.72,6.49,2.23,0.18,723.4,1791.4,14.76,注意,良好
500KV-1号主变压器,B相,2024-08-25 00:00:00,195.77,7.85,14.81,12.67,0.09,1349.9,1924.9,35.81,注意,良好
500KV-2号主变压器,B相,2024-08-25 00:00:00,240.34,13.24,8.34,15.28,0.08,1324.6,2456.2,38.59,注意,良好
500KV-3号主变压器,B相,2024-08-25 00:00:00,137.98,9.26,10.57,3.32,0.11,813.1,1644.5,22.69,注意,良好
500KV-1号主变压器,B相,2024-08-26 00:00:00,174.17,7.16,1.23,5.89,0.47,1009.2,3250.5,14.07,注意,良好
500KV-2号主变压器,B相,2024-08-26 00:00:00,162.58,4.76,12.52,2.1,0.49,278.9,2621.8,20.14,注意,良好
500KV-3号主变压器,B相,2024-08-26 00:00:00,174.2,8.96,7.84,14.62,0.96,1243.5,3033.1,31.23,注意,良好
500KV-1号主变压器,B相,2024-08-27 00:00:00,230.06,14.29,7.64,13.38,0.86,800.1,2372.9,36.5,注意,良好
500KV-2号主变压器,B相,2024-08-27 00:00:00,227.44,6.23,35.72,1.67,0.06,431.6,3417.9,41.52,注意,一般
500KV-3号主变压器,B相,2024-08-27 00:00:00,194.27,9.53,22.99,1.18,0.14,911.2,2838.1,33.22,注意,一般
500KV-1号主变压器,B相,2024-08-28 00:00:00,20.88,13.96,9.67,10.06,0.43,1196.0,1369.4,34.6,注意,良好
500KV-2号主变压器,B相,2024-08-28 00:00:00,169.56,9.52,32.33,21.99,1.12,1190.0,2922.9,67.77,注意,良好
500KV-3号主变压器,B相,2024-08-28 00:00:00,18.27,3.75,12.24,18.59,0.02,576.7,2793.5,33.53,注意,良好
500KV-1号主变压器,B相,2024-08-29 00:00:00,114.72,4.17,26.96,4.63,0.78,658.3,1835.0,37.25,注意,良好
500KV-2号主变压器,B相,2024-08-29 00:00:00,47.87,10.18,2.75,10.06,0.04,460.2,2307.5,23.41,注意,良好
500KV-3号主变压器,B相,2024-08-29 00:00:00,108.51,10.89,10.27,2.77,0.65,457.4,2211.3,25.68,注意,良好
500KV-1号主变压器,C相,2024-06-01 00:00:00,47.66,5.69,36.04,15.73,0.57,455.0,1559.7,58.28,注意,良好
500KV-2号主变压器,C相,2024-06-01 00:00:00,60.85,13.71,18.84,20.8,0.5,957.9,1898.8,54.24,注意,良好
500KV-3号主变压器,C相,2024-06-01 00:00:00,33.1,14.82,18.97,12.11,0.78,1164.7,1875.8,48.59,注意,良好
500KV-1号主变压器,C相,2024-06-02 00:00:00,168.94,6.68,22.16,9.07,0.06,616.5,1421.6,39.85,注意,良好
500KV-2号主变压器,C相,2024-06-02 00:00:00,128.75,12.69,26.3,18.45,0.04,188.8,1865.7,56.52,注意,良好
500KV-3号主变压器,C相,2024-06-02 00:00:00,242.81,11.84,2.35,9.5,0.19,643.8,2686.4,24.86,注意,良好
500KV-1号主变压器,C相,2024-06-03 00:00:00,188.17,14.05,9.31,13.0,0.59,1258.7,2635.4,36.14,注意,良好
500KV-2号主变压器,C相,2024-06-03 00:00:00,234.78,7.13,10.62,10.61,0.85,372.9,1900.8,29.13,注意,良好
500KV-3号主变压器,C相,2024-06-03 00:00:00,70.18,4.15,4.72,8.45,1.05,448.2,2918.5,17.83,注意,良好
500KV-1号主变压器,C相,2024-06-04 00:00:00,165.58,12.61,20.17,12.23,0.04,1193.2,1470.5,46.78,注意,一般
500KV-2号主变压器,C相,2024-06-04 00:00:00,161.1,4.14,32.1,6.95,0.73,1043.5,1262.4,45.72,注意,良好
500KV-3号主变压器,C相,2024-06-04 00:00:00,215.15,6.61,0.65,13.95,0.13,700.1,1384.3,22.38,注意,良好
500KV-1号主变压器,C相,2024-06-05 00:00:00,129.12,12.17,23.1,17.78,0.75,623.5,2685.5,55.37,注意,良好
500KV-2号主变压器,C相,2024-06-05 00:00:00,25.33,4.11,9.37,16.15,0.53,1240.1,2548.7,29.47,注意,良好
500KV-3号主变压器,C相,2024-06-05 00:00:00,57.59,6.53,25.56,3.49,0.07,788.0,3478.4,33.95,注意,良好
500KV-1号主变压器,C相,2024-06-06 00:00:00,117.93,5.8,2.91,2.69,0.13,1374.3,2076.5,10.96,注意,良好
500KV-2号主变压器,C相,2024-06-06 00:00:00,214.62,8.13,5.0,8.33,0.76,815.9,1497.2,23.05,注意,良好
500KV-3号主变压器,C相,2024-06-06 00:00:00,47.69,9.67,26.49,7.35,0.02,488.4,3357.9,44.18,注意,良好
500KV-1号主变压器,C相,2024-06-07 00:00:00,167.23,4.68,1.11,1.86,0.33,1014.7,907.6,8.33,注意,良好
500KV-2号主变压器,C相,2024-06-07 00:00:00,162.08,4.66,15.11,6.08,0.17,925.4,3006.1,25.27,注意,良好
500KV-3号主变压器,C相,2024-06-07 00:00:00,194.77,8.52,13.87,9.12,0.09,1137.9,754.4,31.43,注意,良好
500KV-1号主变压器,C相,2024-06-08 00:00:00,195.35,8.05,16.86,11.08,0.13,1337.9,2667.7,36.87,注意,良好
500KV-2号主变压器,C相,2024-06-08 00:00:00,166.89,4.61,3.7,10.52,0.97,422.3,2258.6,18.81,注意,良好
500KV-3号主变压器,C相,2024-06-08 00:00:00,29.17,11.07,26.92,14.44,0.11,1291.4,3284.9,52.9,注意,一般
500KV-1号主变压器,C相,2024-06-09 00:00:00,166.38,12.32,20.27,9.99,1.02,442.9,3078.3,42.76,注意,良好
500KV-2号主变压器,C相,2024-06-09 00:00:00,219.9,14.86,5.34,4.16,0.2,1400.9,1365.2,25.42,注意,良好
500KV-3号主变压器,C相,2024-06-09 00:00:00,60.45,7.61,11.6,14.15,0.36,414.9,937.1,32.47,注意,良好
500KV-1号主变压器,C相,2024-06-10 00:00:00,138.23,3.23,29.66,7.03,0.26,441.9,1627.4,41.27,注意,良好
500KV-2号主变压器,C相,2024-06-10 00:00:00,233.02,10.64,23.95,6.0,0.26,861.5,1710.2,42.7,注意,良好
500KV-3号主变压器,C相,2024-06-10 00:00:00,166.85,7.97,28.27,22.52,0.45,540.8,2135.0,60.16,注意,良好
500KV-1号主变压器,C相,2024-06-11 00:00:00,16.04,3.61,27.2,4.96,0.59,1069.8,3450.3,37.58,注意,一般
500KV-2号主变压器,C相,2024-06-11 00:00:00,193.35,8.97,4.63,0.99,0.59,297.4,2521.3,15.06,注意,良好
500KV-3号主变压器,C相,2024-06-11 00:00:00,136.1,12.29,15.93,8.83,0.17,797.5,1476.9,38.26,注意,一般
500KV-1号主变压器,C相,2024-06-12 00:00:00,187.86,7.89,29.4,13.03,0.23,1071.4,2900.6,51.99,注意,良好
500KV-2号主变压器,C相,2024-06-12 00:00:00,18.37,3.59,11.73,15.65,0.22,780.9,2495.1,32.0,注意,良好
500KV-3号主变压器,C相,2024-06-12 00:00:00,205.05,3.78,20.05,9.22,0.69,940.7,1264.5,32.44,注意,良好
500KV-1号主变压器,C相,2024-06-13 00:00:00,80.53,10.12,15.15,0.66,0.04,811.7,2493.5,26.35,注意,良好
500KV-2号主变压器,C相,2024-06-13 00:00:00,243.7,10.54,18.65,9.57,0.24,364.9,3242.9,38.38,注意,良好
500KV-3号主变压器,C相,2024-06-13 00:00:00,132.36,5.28,14.17,12.38,0.32,761.1,2750.7,33.44,注意,良好
500KV-1号主变压器,C相,2024-06-14 00:00:00,149.76,5.76,22.5,4.93,0.18,257.0,1596.2,32.28,注意,良好
500KV-2号主变压器,C相,2024-06-14 00:00:00,53.38,10.25,5.55,19.6,0.37,1053.9,1825.9,36.4,注意,良好
500KV-3号主变压器,C相,2024-06-14 00:00:00,217.91,13.19,14.01,9.48,1.02,1017.9,1845.0,37.44,注意,良好
500KV-1号主变压器,C相,2024-06-15 00:00:00,262.45,12.32,22.02,10.89,0.83,1116.0,1938.2,47.44,注意,一般
500KV-2号主变压器,C相,2024-06-15 00:00:00,149.57,5.42,13.84,5.66,0.23,1270.9,3115.1,24.04,注意,良好
500KV-3号主变压器,C相,2024-06-15 00:00:00,173.63,12.69,25.9,11.37,0.2,659.5,1960.6,49.97,注意,良好
500KV-1号主变压器,C相,2024-06-16 00:00:00,115.67,7.1,2.19,21.21,0.06,1165.4,887.3,30.49,注意,良好
500KV-2号主变压器,C相,2024-06-16 00:00:00,27.87,12.06,19.23,2.99,0.1,1184.1,2209.5,33.79,注意,差
500KV-3号主变压器,C相,2024-06-16 00:00:00,181.64,9.97,4.34,20.0,0.51,750.0,2882.4,35.93,注意,良好
500KV-1号主变压器,C相,2024-06-17 00:00:00,139.98,14.25,9.03,15.04,0.03,926.3,2724.5,38.19,注意,良好
500KV-2号主变压器,C相,2024-06-17 00:00:00,165.14,12.79,15.85,8.71,0.4,470.2,1150.8,36.78,注意,良好
500KV-3号主变压器,C相,2024-06-17 00:00:00,26.48,4.98,2.48,19.43,1.15,313.4,2994.4,29.28,注意,良好
500KV-1号主变压器,C相,2024-06-18 00:00:00,114.54,10.08,18.79,7.09,0.66,356.2,1775.2,35.2,注意,良好
500KV-2号主变压器,C相,2024-06-18 00:00:00,185.82,11.56,20.94,1.87,0.19,1076.0,2535.2,33.53,注意,良好
500KV-3号主变压器,C相,2024-06-18 00:00:00,209.97,14.47,18.48,1.38,0.27,511.3,825.3,33.98,注意,一般
500KV-1号主变压器,C相,2024-06-19 00:00:00,203.32,7.95,26.73,0.63,0.13,1113.5,2076.2,36.06,注意,良好
500KV-2号主变压器,C相,2024-06-19 00:00:00,29.94,14.34,24.53,15.38,0.15,231.1,1167.5,52.2,注意,良好
500KV-3号主变压器,C相,2024-06-19 00:00:00,160.85,3.48,1.09,12.21,0.14,977.0,3495.9,17.33,注意,良好
500KV-1号主变压器,C相,2024-06-20 00:00:00,139.67,12.9,21.13,7.87,2.67,675.4,1643.1,42.99,注意,良好
500KV-2号主变压器,C相,2024-06-20 00:00:00,72.45,8.94,22.65,2.09,6.46,784.5,2550.3,38.69,注意,良好
500KV-3号主变压器,C相,2024-06-20 00:00:00,111.34,5.14,6.28,7.74,0.3,529.9,2838.9,20.21,注意,良好
500KV-1号主变压器,C相,2024-06-21 00:00:00,213.77,8.73,11.65,12.75,0.2,1068.5,2225.7,33.39,注意,良好
500KV-2号主变压器,C相,2024-06-21 00:00:00,145.75,9.54,25.87,8.07,0.21,846.1,2512.5,43.18,注意,良好
500KV-3号主变压器,C相,2024-06-21 00:00:00,53.86,7.18,10.37,1.2,0.89,1161.0,3196.3,20.14,注意,良好
500KV-1号主变压器,C相,2024-06-22 00:00:00,114.15,5.47,23.94,2.83,0.18,861.2,918.5,32.85,注意,一般
500KV-2号主变压器,C相,2024-06-22 00:00:00,25.5,6.06,3.26,13.81,0.66,890.1,1567.0,24.95,注意,良好
500KV-3号主变压器,C相,2024-06-22 00:00:00,191.98,3.17,10.1,12.0,0.14,1202.8,2103.4,25.59,注意,良好
500KV-1号主变压器,C相,2024-06-23 00:00:00,110.36,6.17,29.02,6.46,0.17,440.9,2737.4,43.85,注意,良好
500KV-2号主变压器,C相,2024-06-23 00:00:00,84.16,14.27,6.52,17.59,0.48,800.9,3103.6,38.78,注意,良好
500KV-3号主变压器,C相,2024-06-23 00:00:00,140.23,3.17,10.71,3.64,0.27,997.8,3284.9,17.28,注意,良好
500KV-1号主变压器,C相,2024-06-24 00:00:00,137.14,11.27,2.75,15.26,0.1,972.9,1621.0,30.2,注意,良好
500KV-2号主变压器,C相,2024-06-24 00:00:00,116.21,12.51,30.28,6.81,1.32,295.2,1936.3,52.98,注意,良好
500KV-3号主变压器,C相,2024-06-24 00:00:00,11.13,14.35,3.66,12.13,0.0,403.8,2430.7,29.5,注意,良好
500KV-1号主变压器,C相,2024-06-25 00:00:00,49.33,8.26,30.54,10.15,1.15,1292.0,3460.8,51.68,注意,良好
500KV-2号主变压器,C相,2024-06-25 00:00:00,60.54,12.46,3.39,6.38,0.16,1114.7,1420.2,21.33,注意,一般
500KV-3号主变压器,C相,2024-06-25 00:00:00,204.02,6.61,12.57,5.56,0.08,1016.5,966.0,25.09,注意,良好
500KV-1号主变压器,C相,2024-06-26 00:00:00,153.86,6.61,15.5,6.46,1.02,794.5,1361.7,30.66,注意,良好
500KV-2号主变压器,C相,2024-06-26 00:00:00,225.21,3.7,11.46,18.57,0.39,997.1,869.4,35.23,注意,良好
500KV-3号主变压器,C相,2024-06-26 00:00:00,122.04,9.5,2.38,7.19,0.16,261.7,2371.9,19.77,注意,差
500KV-1号主变压器,C相,2024-06-27 00:00:00,259.71,12.99,3.09,4.36,0.31,415.7,1687.0,20.56,注意,良好
500KV-2号主变压器,C相,2024-06-27 00:00:00,272.45,10.77,10.77,10.18,0.06,670.4,2309.5,31.89,注意,良好
500KV-3号主变压器,C相,2024-06-27 00:00:00,97.46,8.09,16.39,7.28,0.89,1139.0,2427.3,32.73,注意,良好
500KV-1号主变压器,C相,2024-06-28 00:00:00,164.87,6.22,18.4,2.2,1.39,1226.5,2586.5,26.97,注意,良好
500KV-2号主变压器,C相,2024-06-28 00:00:00,89.11,4.32,2.03,19.72,0.57,1362.1,2949.8,25.96,注意,良好
500KV-3号主变压器,C相,2024-06-28 00:00:00,154.91,5.33,22.57,6.43,0.16,921.7,3055.4,35.41,注意,良好
500KV-1号主变压器,C相,2024-06-29 00:00:00,126.8,10.02,4.87,3.78,1.03,283.9,1575.7,19.13,注意,差
500KV-2号主变压器,C相,2024-06-29 00:00:00,108.37,8.15,10.85,5.43,0.22,402.2,2566.9,25.35,注意,良好
